,day,trips,users,trips_per_bike_per_day,available_bikes,availability,registrations,Bad,Good,Top,Field_Maintenance,Functional,InSearch,Lost,Need_Warehouse,To_Deploy,Warehouse_Maintenance
0,2023-08-01,259.0,172.0,1.41,184.0,0.3755102040816326,25.0,22,23,47,39.0,164.0,114.0,31.0,1.0,1.0,172.0
1,2023-08-02,280.0,182.0,1.49,188.0,0.3924843423799583,28.0,19,21,77,30.0,173.0,105.0,42.0,1.0,1.0,170.0
2,2023-08-03,239.0,171.0,1.19,201.0,0.41875,24.0,18,24,50,28.0,186.0,104.0,42.0,2.0,1.0,160.0
3,2023-08-04,321.0,191.0,1.57,205.0,0.485781990521327,25.0,34,21,72,35.0,187.0,87.0,51.0,1.0,1.0,112.0
4,2023-08-05,233.0,149.0,1.14,204.0,0.4834123222748815,13.0,19,13,70,37.0,188.0,87.0,51.0,1.0,1.0,109.0
5,2023-08-06,217.0,144.0,1.1,198.0,0.4691943127962085,21.0,16,21,54,40.0,181.0,87.0,51.0,1.0,1.0,113.0
6,2023-08-07,230.0,152.0,1.33,173.0,0.4109263657957244,27.0,16,19,49,28.0,160.0,126.0,51.0,1.0,1.0,106.0
7,2023-08-08,244.0,161.0,1.44,170.0,0.4038004750593824,24.0,19,15,49,33.0,157.0,125.0,51.0,1.0,1.0,105.0
8,2023-08-09,197.0,129.0,1.07,184.0,0.4380952380952381,17.0,18,15,48,30.0,170.0,120.0,51.0,1.0,1.0,99.0
9,2023-08-10,262.0,167.0,1.34,195.0,0.4653937947494033,19.0,15,22,53,26.0,179.0,119.0,51.0,1.0,1.0,94.0
10,2023-08-11,222.0,150.0,1.13,196.0,0.4700239808153477,23.0,16,15,49,16.0,187.0,119.0,51.0,1.0,1.0,94.0
11,2023-08-12,211.0,139.0,1.1,191.0,0.4580335731414868,19.0,18,24,47,31.0,171.0,120.0,51.0,1.0,1.0,94.0
12,2023-08-13,246.0,162.0,1.34,183.0,0.4388489208633093,24.0,22,29,54,31.0,166.0,120.0,51.0,1.0,1.0,99.0
13,2023-08-14,179.0,123.0,0.94,190.0,0.4556354916067146,12.0,11,16,37,26.0,173.0,120.0,51.0,1.0,1.0,97.0
14,2023-08-15,228.0,149.0,1.27,179.0,0.4292565947242206,25.0,19,13,46,31.0,163.0,120.0,51.0,1.0,1.0,102.0
15,2023-08-16,276.0,186.0,1.43,193.0,0.4628297362110312,11.0,27,28,57,16.0,186.0,117.0,51.0,1.0,1.0,97.0
16,2023-08-17,330.0,199.0,1.75,189.0,0.4565217391304347,17.0,24,36,90,14.0,183.0,116.0,51.0,1.0,1.0,100.0
17,2023-08-18,340.0,210.0,1.78,191.0,0.4647201946472019,19.0,30,34,88,20.0,180.0,116.0,51.0,1.0,1.0,94.0
18,2023-08-19,273.0,180.0,1.48,185.0,0.4501216545012165,21.0,34,30,65,35.0,165.0,116.0,51.0,1.0,1.0,94.0
19,2023-08-20,283.0,180.0,1.59,178.0,0.4330900243309002,14.0,38,28,47,58.0,142.0,116.0,51.0,1.0,1.0,94.0
20,2023-08-21,158.0,102.0,0.88,180.0,0.4400977995110024,11.0,15,11,45,56.0,141.0,115.0,51.0,1.0,1.0,96.0
21,2023-08-22,249.0,157.0,1.37,182.0,0.4449877750611247,16.0,22,21,50,46.0,151.0,114.0,51.0,1.0,1.0,97.0
22,2023-08-23,261.0,164.0,1.43,182.0,0.4631043256997455,16.0,20,22,48,13.0,172.0,113.0,63.0,0.0,4.0,92.0
23,2023-08-24,308.0,183.0,1.64,188.0,0.4795918367346938,19.0,22,30,71,14.0,180.0,113.0,63.0,0.0,0.0,86.0
24,2023-08-25,307.0,198.0,1.72,178.0,0.4540816326530612,26.0,27,20,58,18.0,168.0,113.0,63.0,0.0,0.0,94.0
25,2023-08-26,224.0,160.0,1.31,171.0,0.4362244897959184,21.0,24,19,48,26.0,156.0,112.0,63.0,0.0,0.0,99.0
26,2023-08-27,176.0,118.0,1.05,168.0,0.4285714285714285,23.0,12,14,46,30.0,151.0,112.0,63.0,1.0,0.0,99.0
27,2023-08-28,191.0,124.0,1.1,173.0,0.4413265306122449,12.0,12,16,35,33.0,153.0,109.0,63.0,0.0,0.0,98.0
28,2023-08-29,239.0,164.0,1.31,182.0,0.4642857142857143,16.0,25,24,46,23.0,169.0,109.0,63.0,0.0,0.0,92.0
29,2023-08-30,230.0,146.0,1.22,188.0,0.4795918367346938,10.0,23,15,40,26.0,174.0,109.0,63.0,0.0,0.0,84.0
30,2023-08-31,224.0,146.0,1.19,189.0,0.4821428571428571,26.0,20,18,35,29.0,171.0,109.0,63.0,0.0,0.0,84.0
