,day,trips,users,trips_per_bike_per_day,available_bikes,availability,registrations,Bad,Good,Top,Field_Maintenance,Functional,InSearch,Lost,Need_Warehouse,To_Deploy,Warehouse_Maintenance
0,2023-04-01,586.0,344.0,1.33,440.0,0.7547169811320755,37.0,33,49,116,47.0,416.0,43.0,23.0,2.0,0.0,75.0
1,2023-04-02,471.0,269.0,1.08,436.0,0.7478559176672385,24.0,37,42,90,41.0,417.0,39.0,23.0,2.0,0.0,84.0
2,2023-04-03,671.0,359.0,1.52,442.0,0.758147512864494,21.0,22,42,157,46.0,424.0,36.0,23.0,0.0,0.0,77.0
3,2023-04-04,713.0,375.0,1.67,428.0,0.7341337907375644,24.0,52,36,160,43.0,411.0,40.0,23.0,1.0,0.0,88.0
4,2023-04-05,807.0,439.0,1.87,432.0,0.7409948542024014,31.0,58,48,163,42.0,415.0,40.0,23.0,0.0,0.0,86.0
5,2023-04-06,734.0,404.0,1.73,424.0,0.7272727272727273,22.0,53,50,148,46.0,405.0,42.0,23.0,0.0,0.0,91.0
6,2023-04-07,846.0,470.0,1.99,426.0,0.7307032590051458,25.0,56,52,172,63.0,391.0,42.0,23.0,1.0,0.0,87.0
7,2023-04-08,667.0,365.0,1.57,424.0,0.7272727272727273,48.0,49,64,137,57.0,397.0,43.0,23.0,0.0,0.0,87.0
8,2023-04-09,557.0,323.0,1.34,415.0,0.7118353344768439,61.0,42,52,141,63.0,384.0,44.0,23.0,1.0,0.0,92.0
9,2023-04-10,411.0,233.0,0.99,415.0,0.7118353344768439,28.0,34,36,74,71.0,376.0,44.0,23.0,1.0,0.0,92.0
10,2023-04-11,524.0,283.0,1.3,404.0,0.692967409948542,17.0,26,35,123,67.0,377.0,44.0,23.0,2.0,0.0,93.0
11,2023-04-12,516.0,283.0,1.28,403.0,0.6912521440823327,19.0,25,32,108,58.0,377.0,43.0,23.0,2.0,0.0,103.0
12,2023-04-13,586.0,336.0,1.46,402.0,0.6895368782161235,22.0,39,45,132,57.0,376.0,43.0,23.0,2.0,0.0,105.0
13,2023-04-14,563.0,319.0,1.39,404.0,0.692967409948542,22.0,32,30,122,61.0,377.0,41.0,23.0,2.0,0.0,102.0
14,2023-04-15,592.0,319.0,1.42,416.0,0.7135506003430532,45.0,42,46,132,61.0,387.0,41.0,23.0,3.0,0.0,91.0
15,2023-04-16,603.0,331.0,1.47,411.0,0.7049742710120068,41.0,49,47,130,67.0,380.0,41.0,23.0,3.0,0.0,92.0
16,2023-04-17,561.0,300.0,1.36,414.0,0.7101200686106347,21.0,54,41,123,69.0,379.0,39.0,23.0,3.0,0.0,93.0
17,2023-04-18,663.0,369.0,1.63,406.0,0.6963979416809606,27.0,39,44,149,69.0,380.0,39.0,23.0,2.0,0.0,93.0
18,2023-04-19,758.0,411.0,1.87,406.0,0.6963979416809606,27.0,63,45,157,68.0,381.0,39.0,23.0,2.0,0.0,93.0
19,2023-04-20,706.0,395.0,1.71,414.0,0.7101200686106347,29.0,47,56,165,71.0,385.0,38.0,23.0,2.0,0.0,87.0
20,2023-04-21,653.0,357.0,1.66,394.0,0.6758147512864494,37.0,42,52,147,79.0,362.0,38.0,23.0,1.0,0.0,103.0
21,2023-04-22,540.0,323.0,1.37,394.0,0.6758147512864494,35.0,39,26,109,120.0,320.0,39.0,23.0,2.0,0.0,102.0
22,2023-04-23,403.0,245.0,1.04,389.0,0.6672384219554031,13.0,23,30,76,399.0,35.0,40.0,23.0,2.0,0.0,108.0
23,2023-04-24,418.0,249.0,1.07,391.0,0.6706689536878216,34.0,32,25,83,69.0,364.0,39.0,23.0,3.0,0.0,108.0
24,2023-04-25,528.0,303.0,1.33,398.0,0.6826758147512865,31.0,32,41,116,70.0,370.0,38.0,23.0,3.0,0.0,102.0
25,2023-04-26,475.0,267.0,1.2,397.0,0.6809605488850772,26.0,34,31,86,73.0,365.0,38.0,23.0,3.0,0.0,104.0
26,2023-04-27,503.0,274.0,1.29,390.0,0.6689536878216124,17.0,43,30,113,82.0,354.0,38.0,23.0,3.0,0.0,106.0
27,2023-04-28,440.0,247.0,1.14,385.0,0.660377358490566,26.0,32,30,82,87.0,346.0,38.0,23.0,5.0,0.0,107.0
28,2023-04-29,402.0,254.0,1.06,378.0,0.6483704974271012,35.0,28,32,76,92.0,341.0,38.0,23.0,5.0,0.0,107.0
29,2023-04-30,382.0,220.0,1.02,374.0,0.6415094339622641,45.0,31,22,92,102.0,332.0,38.0,23.0,4.0,0.0,107.0
