,day,trips,users,trips_per_bike_per_day,available_bikes,availability,registrations,Bad,Good,Top,Field_Maintenance,Functional,InSearch,Lost,Need_Warehouse,To_Deploy,Warehouse_Maintenance
0,2023-03-01,452.0,250.0,0.97,464.0,0.7864406779661017,23.0,31,29,89,41.0,450.0,22.0,15.0,10.0,0.0,67.0
1,2023-03-02,529.0,299.0,1.14,466.0,0.7898305084745763,15.0,29,28,110,38.0,453.0,22.0,15.0,11.0,0.0,66.0
2,2023-03-03,485.0,264.0,1.03,470.0,0.7966101694915254,18.0,21,33,100,40.0,457.0,22.0,15.0,11.0,0.0,60.0
3,2023-03-04,438.0,243.0,0.94,468.0,0.7932203389830509,22.0,25,29,105,43.0,454.0,22.0,15.0,10.0,0.0,61.0
4,2023-03-05,342.0,188.0,0.73,469.0,0.7949152542372881,24.0,10,22,84,42.0,455.0,22.0,15.0,10.0,0.0,61.0
5,2023-03-06,478.0,263.0,1.09,439.0,0.7440677966101695,12.0,22,28,97,54.0,425.0,23.0,15.0,11.0,0.0,77.0
6,2023-03-07,555.0,304.0,1.31,425.0,0.7203389830508474,23.0,27,47,112,54.0,408.0,25.0,15.0,11.0,0.0,92.0
7,2023-03-08,466.0,274.0,1.09,427.0,0.7237288135593221,17.0,29,32,101,54.0,407.0,28.0,15.0,7.0,0.0,95.0
8,2023-03-09,593.0,320.0,1.39,427.0,0.7286689419795221,17.0,33,44,116,54.0,409.0,30.0,15.0,9.0,0.0,84.0
9,2023-03-10,625.0,342.0,1.49,420.0,0.7167235494880546,16.0,34,50,131,56.0,398.0,33.0,15.0,8.0,0.0,91.0
10,2023-03-11,608.0,359.0,1.47,414.0,0.7064846416382252,27.0,28,36,140,63.0,390.0,33.0,15.0,8.0,0.0,92.0
11,2023-03-12,406.0,242.0,0.98,416.0,0.7098976109215017,28.0,19,33,65,65.0,391.0,33.0,15.0,8.0,0.0,89.0
12,2023-03-13,509.0,281.0,1.25,406.0,0.6928327645051194,20.0,32,30,101,63.0,382.0,33.0,15.0,10.0,0.0,98.0
13,2023-03-14,532.0,331.0,1.26,421.0,0.7184300341296929,10.0,23,33,122,55.0,403.0,34.0,15.0,10.0,0.0,84.0
14,2023-03-15,608.0,337.0,1.44,423.0,0.7305699481865285,23.0,29,37,124,52.0,402.0,25.0,23.0,8.0,0.0,92.0
15,2023-03-16,755.0,424.0,1.78,425.0,0.7327586206896551,29.0,42,46,172,55.0,406.0,25.0,23.0,9.0,0.0,85.0
16,2023-03-17,686.0,399.0,1.61,427.0,0.7374784110535406,22.0,39,56,144,49.0,412.0,24.0,23.0,10.0,0.0,84.0
17,2023-03-18,596.0,346.0,1.39,430.0,0.7426597582037997,14.0,46,39,117,38.0,419.0,23.0,23.0,7.0,0.0,93.0
18,2023-03-19,440.0,255.0,1.03,428.0,0.7392055267702936,23.0,30,24,92,32.0,419.0,23.0,23.0,5.0,0.0,101.0
19,2023-03-20,481.0,288.0,1.13,426.0,0.7370242214532872,19.0,26,36,113,38.0,414.0,23.0,23.0,5.0,0.0,99.0
20,2023-03-21,633.0,352.0,1.5,421.0,0.7347294938917975,36.0,42,45,129,40.0,408.0,23.0,23.0,5.0,0.0,97.0
21,2023-03-22,558.0,313.0,1.31,426.0,0.743455497382199,13.0,35,45,119,47.0,409.0,23.0,23.0,5.0,0.0,89.0
22,2023-03-23,674.0,356.0,1.56,432.0,0.7409948542024014,39.0,48,49,154,54.0,409.0,23.0,23.0,5.0,1.0,91.0
23,2023-03-24,650.0,350.0,1.47,441.0,0.7551369863013698,24.0,34,45,144,60.0,417.0,23.0,23.0,6.0,0.0,78.0
24,2023-03-25,576.0,332.0,1.3,442.0,0.7568493150684932,22.0,42,41,127,54.0,418.0,25.0,23.0,8.0,0.0,79.0
25,2023-03-26,384.0,217.0,0.88,435.0,0.7448630136986302,15.0,27,29,67,52.0,412.0,29.0,23.0,8.0,0.0,83.0
26,2023-03-27,614.0,338.0,1.43,428.0,0.7328767123287672,22.0,37,41,122,56.0,402.0,30.0,23.0,8.0,0.0,88.0
27,2023-03-28,649.0,348.0,1.52,427.0,0.7311643835616438,21.0,35,46,146,39.0,411.0,38.0,23.0,6.0,0.0,90.0
28,2023-03-29,735.0,384.0,1.66,444.0,0.7602739726027398,33.0,46,41,173,45.0,423.0,38.0,23.0,6.0,0.0,72.0
29,2023-03-30,743.0,394.0,1.69,440.0,0.7534246575342466,19.0,44,53,158,46.0,417.0,40.0,23.0,5.0,0.0,76.0
30,2023-03-31,728.0,392.0,1.67,436.0,0.7478559176672385,30.0,46,62,159,51.0,414.0,40.0,23.0,4.0,0.0,74.0
